Domestic existing building stock and tenure split,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,All stock,Owned or share owned share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,,,,,,
,scenario,All,All,All,All,All,All,,,,,,
,year,2020,2020,2020,2020,2020,2020,,,,,,
,sector,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,,,
,,,,,,,,,,,,,
,LSOA Code,All stock,Owner occupied share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,LAD20NM,CTYUA19CD,CTYUA19NM,LEP20CD,LEP20NM,Licence area
,E01000165,704,0.6662,0.0396,0.2942,1.0000,0.0610,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000166,652,0.7253,0.1080,0.1667,0.8149,0.0750,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000167,561,0.5977,0.3295,0.0728,0.9473,0.1150,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000168,583,0.8767,0.0139,0.1094,0.9847,0.0900,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000169,714,0.6896,0.0433,0.2672,0.6691,0.0920,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000170,695,0.6265,0.1799,0.1936,0.8478,0.1200,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000171,1052,0.4685,0.0771,0.4544,0.5899,0.0970,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000172,609,0.8056,0.0432,0.1512,0.9736,0.0880,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000173,629,0.8217,0.0648,0.1135,0.9072,0.0790,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000174,801,0.5535,0.1279,0.3185,0.7715,0.1100,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000175,647,0.8155,0.0227,0.1618,0.9198,0.0730,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000176,710,0.3281,0.5559,0.1160,0.9678,0.0940,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000177,699,0.6478,0.0406,0.3116,0.9384,0.1000,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000178,689,0.6216,0.1453,0.2331,0.8939,0.1320,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000179,848,0.6265,0.0380,0.3355,0.8946,0.0710,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000180,719,0.4107,0.3556,0.2337,0.9885,0.0880,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000181,680,0.5964,0.0284,0.3752,0.8126,0.1340,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000182,798,0.5684,0.0335,0.3981,0.7941,0.1110,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000183,615,0.6524,0.0822,0.2654,0.9654,0.1070,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000184,649,0.3499,0.5129,0.1372,0.9397,0.1230,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000185,606,0.2244,0.5545,0.2211,0.9515,0.0880,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000186,500,0.8762,0.0319,0.0918,1.0000,0.0800,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000187,605,0.6155,0.2209,0.1636,0.7054,0.0800,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000188,519,0.8740,0.0136,0.1124,0.8883,0.0810,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000189,943,0.1575,0.6779,0.1646,0.3180,0.1110,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000190,582,0.8004,0.0806,0.1190,0.8628,0.0890,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000191,565,0.8453,0.0113,0.1434,0.8463,0.0760,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000192,724,0.5900,0.0293,0.3807,0.6910,0.1180,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000193,718,0.6684,0.0421,0.2896,0.7557,0.1230,Barnet,E09000003,Barnet,E37000051,London,EPN
,E01000194,693,0.5410,0.0328,0.4262,0.7451,0.1540,Barnet,E09000003,Barnet,E37000051,London,EPN
