Electricity demand for heat (kWh),,,,,,,,,,,,,
"Notes: Data gives all electricity demand for space and hot water heating by LSOA, including new builds and district heating",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,,,,
,E01015633,292570.7917,676966.4791,597727.1847,304275.4421,641128.2822,3575063.249,734396.9238,2693963.497,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015634,553059.3624,722464.6203,666182.2132,509503.6428,706318.9449,2558143.285,766243.1739,1989693.451,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015635,1827353.104,1939408.213,1900676.939,1782633.017,2070591.575,4828270.374,1857746.195,4520843.454,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015636,1648407.264,1717019.234,1700009.263,1668153.837,1809323.924,3341548.094,1835647.326,3210199.553,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015637,12291.09851,242195.1117,188607.3924,42025.94735,253110.2198,1744945.471,409800.3824,1473904.874,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015638,2419643.705,2487222.515,2440631.825,2207855.916,2599967.657,6057418.722,1464609.325,5435251.544,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015639,140929.1346,368377.0105,308888.467,184054.8469,388886.6377,1949850.119,635624.2856,1696814.642,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015640,39490.05244,282722.4432,230704.632,67290.75903,277731.6744,1853844.1,408425.3953,1481747.841,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015641,37374.88734,262888.0621,213514.4242,63118.97412,259319.0675,1702914.39,398253.8758,1379036.848,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015642,42120.27803,253983.1113,201827.5387,59814.26352,260100.7514,1650449.679,355612.6631,1384574.507,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015643,550376.5456,629049.9678,579806.666,484025.2698,623769.9288,1867549.269,605735.7908,1517564.034,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015644,1402313.082,1507139.736,1429330.855,1270816.892,1455404.159,3795094.121,1376472.013,2884780.913,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015645,845514.1502,886321.2078,828336.5527,718648.2436,869620.6118,2466286.963,834126.8673,1993425.906,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015646,1514271.217,1458007.345,1373574.748,1133871.025,1412173.169,3219112.95,764876.5856,2541308.358,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015647,2482183.069,2313291.474,2257891.577,2274785.367,2215337.703,3225766.818,2046736.538,2579771.872,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015648,281875.0282,479358.2612,437095.6284,284690.7299,473519.2597,2150291.169,644822.1273,1694397.471,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015650,2527916.568,2604284.374,2537921.72,2277748.516,2731444.254,7887693.438,2340736.229,6512297.872,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015651,327520.255,616295.8899,575153.773,313818.7352,556721.7918,2980686.618,742020.2392,2087713.935,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015652,565542.1908,937693.7936,916030.6671,902220.038,1014455.895,2866996.205,2095133.246,2802524.578,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015653,572114.175,726660.4704,683347.2923,525909.2614,708646.7355,2491559.951,811259.7187,1931136.703,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015654,2136852.682,1839043.79,1776006.033,1760364.981,1891992.217,3457137.647,1461244.162,2846268.521,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015655,2662870.175,2124097.198,2073779.177,2114166.617,2124508.384,3189392.849,1509239.571,2644914.233,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015656,26625.0572,289691.2493,233644.1784,64979.58109,288726.2,1989778.788,505296.2359,1616439.106,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015657,3089839.379,2558533.902,2481667.887,2489337.592,2642078.904,4742144.259,1788893.712,4331009.169,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015658,444856.2938,597263.7441,541574.3791,432450.0763,631090.9094,2268763.224,690888.4817,1941887.962,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015659,666595.8836,857021.7869,792585.01,608957.6574,812857.601,2741553.602,853545.503,2095442.704,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015660,258977.5742,481397.5282,418914.0003,239489.3052,468343.9953,2493162.709,581311.9677,1900305.718,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015661,6267249.189,6487182.463,6434050.496,5967755.588,6944956.502,15288469.1,6205151.242,14053608.02,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015662,41998.05517,222356.0475,178636.9044,61696.36417,226499.553,1450167.465,383891.1326,1208070.466,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015663,375198.9,466156.4964,416842.1079,352287.9495,475540.5118,1585090.127,628088.9257,1353879.885,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015664,54163.75152,268954.5911,214348.124,83604.52506,276039.8487,1738898.017,501083.1585,1458453.974,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015665,1408519.913,1229072.575,1188121.996,1099355.133,1232091.259,2655939.537,781460.7842,2004879.825,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015666,1602792.707,1366150.185,1317548.309,1311709.993,1381961.917,2321600.102,1040305.095,1972900.041,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015667,745930.3903,848152.4582,797136.6313,687007.0002,838119.3755,2230397.697,888921.7378,1840045.308,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015668,1270537.141,1547926.24,1418292.614,1072068.466,1521300.366,5074823,841691.1226,4029045.614,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015669,249204.4383,462695.6513,412886.3403,255997.6762,437840.7711,2026245.063,593245.3034,1558130.378,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015670,499037.6985,671923.5866,621171.0034,490930.8445,631819.2289,2160395.167,814672.2052,1690103.402,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015671,5473295.88,5242107.593,5109027.268,4963848.622,5216804.071,9723368.681,4748565.592,8261423.622,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015672,668787.5586,786552.1407,735842.007,608049.8798,758380.9295,2303768.507,828363.9789,1791583.436,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015673,431967.4952,537041.2879,491550.6329,392674.8868,534439.3884,1794375.365,588619.9742,1459184.569,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015674,93371.29007,362924.7459,306322.6207,137352.9553,339685.7016,2077642.487,464285.3004,1557503.82,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015675,858258.0727,921994.7078,874704.1799,751037.192,897841.3175,2503292.686,904804.0244,1969065.351,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015676,1198864.854,1351700.083,1295829.645,1117821.928,1323840.665,3565953.923,1377463.404,2744514.485,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015677,3213048.665,2927805.962,2887682.189,3089366.533,2720031.12,2848799.579,3358754.302,2422954.066,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015678,209208.1659,442223.4486,393567.4621,227514.9331,408178.5755,2044092.8,515970.6746,1529018.69,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015679,1240068.084,1239817.785,1177677.6,1031000.162,1263284.199,3450361.704,972667.8857,2874516.581,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015680,791433.124,843528.7361,789710.6525,695096.8356,835743.9429,2193587.946,820203.4513,1787147.35,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015681,249480.0681,431908.1895,387950.2674,235855.3037,418475.6367,1899622.536,484785.5941,1501776.527,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015682,1289846.504,1104134.847,1052506.866,1017290.441,1095877.112,2095762.352,816527.2228,1735266.196,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015683,760227.0063,953298.5206,889751.1801,709909.4035,907089.0306,2830812.317,924173.287,2215232.319,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015684,335271.0201,542666.7629,496521.4456,328931.2341,545832.3659,2307259.604,617880.8409,1890824.009,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015685,176607.0231,464510.9731,401356.205,199142.2695,436579.4005,2337686.248,540807.3794,1835016.827,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015686,3187007.24,3053248.546,3000855.276,3071223.775,2847543.518,3413566.321,3330062.058,2665671.774,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015687,259114.8124,487248.1721,436186.0735,250643.1368,481831.6285,2334570.673,524805.0089,1884644.646,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015688,3992628.42,3234320.871,3173090.182,3262551.916,3326171.988,5180488.637,2151596.38,4519553.433,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015689,355162.0584,620938.1476,574095.6137,352662.0373,626966.3363,3236104.779,662855.3501,2412273.631,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015690,2687205.657,2382578.917,2347433.317,2497420.888,2241586.44,2194531.885,2618096.176,1848568.277,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015691,858185.8783,1200446.647,1154065.689,788833.9327,1512246.099,6684700.433,1012510.529,6065339.87,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015692,527556.789,638556.4765,598414.3226,485000.5915,620692.0265,2074009.952,728793.4041,1625063.717,Peterborough,Peterborough,Greater Cambridge and Greater Peterborough,EPN
,E01015693,0,365168.2626,325559.9096,54515.1732,472243.9833,3487688.416,535441.1257,3039846.13,Luton,Luton,South East Midlands,EPN
,E01015694,306410.7923,523893.9644,482046.3535,328283.6086,504945.3215,2161942.253,761698.6574,1707076.152,Luton,Luton,South East Midlands,EPN
,E01015695,166093.887,397904.9911,361815.0451,185722.6877,378248.6791,2198423.854,564235.7692,1662990.08,Luton,Luton,South East Midlands,EPN
,E01015696,733078.9523,738940.3734,703797.679,634132.9801,746590.8194,1901591.121,743654.6009,1585034.33,Luton,Luton,South East Midlands,EPN
,E01015697,601526.9089,745400.1617,700334.814,582800.529,728339.8331,2395626.277,987139.2509,1926798.571,Luton,Luton,South East Midlands,EPN
,E01015698,1524880.916,1658985.821,1641597.399,1733777.043,1978001.812,3416267.777,2851284.636,3720842.27,Luton,Luton,South East Midlands,EPN
,E01015699,3990770.584,3054376.231,3009561.244,3232858.661,3091187.797,3661145.624,2152540.622,3181729.84,Luton,Luton,South East Midlands,EPN
,E01015700,1711978.268,1576888.279,1517943.607,1432380.02,1594264.708,3371306.106,1348874.85,2781007.115,Luton,Luton,South East Midlands,EPN
,E01015701,601656.9669,905686.7013,882831.9887,891718.755,1024444.633,2498759.676,1982633.857,2618010.137,Luton,Luton,South East Midlands,EPN
,E01015702,575777.3367,709072.5098,675034.2507,525967.1645,704801.8882,2644004.232,764428.7173,2034424.289,Luton,Luton,South East Midlands,EPN
,E01015703,257233.0532,571429.5802,552705.3,557361.8052,634454.3535,1941633.356,1489390.534,1946231.794,Luton,Luton,South East Midlands,EPN
,E01015704,294860.8237,614530.0896,586965.7648,634819.0661,712619.0091,2038249.97,1683903.405,2179901.132,Luton,Luton,South East Midlands,EPN
,E01015705,2044141.855,1937047.396,1914982.477,2087231.063,2255712.195,3095697.126,2799674.33,3574935.765,Luton,Luton,South East Midlands,EPN
,E01015706,232102.9967,452859.2341,408504.416,270508.5626,459184.816,2125147.442,753313.4748,1777585.063,Luton,Luton,South East Midlands,EPN
,E01015707,364969.3763,580321.714,533889.8431,377272.4217,585693.6333,2434128.533,835273.085,2039641.255,Luton,Luton,South East Midlands,EPN
,E01015708,379868.2539,506350.8708,471470.6163,357630.028,528196.8784,2008943.801,689681.5234,1735975.206,Luton,Luton,South East Midlands,EPN
,E01015709,520533.9441,621409.1242,576221.0692,455442.291,626234.3758,2227271.365,753181.8124,1842264.286,Luton,Luton,South East Midlands,EPN
,E01015710,639852.6536,788100.5589,740772.7207,583811.892,805347.956,2923906.41,889147.5942,2292035.981,Luton,Luton,South East Midlands,EPN
,E01015711,578260.8665,659431.5247,617366.9003,504270.6341,646292.7489,2144400.115,717180.9297,1705164.904,Luton,Luton,South East Midlands,EPN
,E01015712,593220.2406,778863.0809,731381.7295,573253.2226,755880.1096,2633428.4,958793.8035,2076709.289,Luton,Luton,South East Midlands,EPN
,E01015713,402533.3751,589410.8478,548154.9199,400180.139,568894.7104,2238244.141,742013.1617,1722726.59,Luton,Luton,South East Midlands,EPN
,E01015714,480807.347,874720.8874,846834.0157,900390.9096,1050342.273,2789906.836,2178108.844,2911236.968,Luton,Luton,South East Midlands,EPN
,E01015715,156208.0475,382128.3634,334008.8342,176365.2318,369181.0091,2103917.356,597422.9389,1649428.103,Luton,Luton,South East Midlands,EPN
,E01015716,1340251.978,1242160.883,1196260.467,1141005.978,1251233.045,2579068.518,1132481.947,2104434.881,Luton,Luton,South East Midlands,EPN
,E01015717,386186.2346,488881.9614,448740.912,362651.6342,489522.8353,1667561.978,595287.9616,1392738.018,Luton,Luton,South East Midlands,EPN
,E01015718,1234713.975,1226180.105,1186198.699,1134625.764,1205626.994,2365975.199,1246361.213,1959238.098,Luton,Luton,South East Midlands,EPN
,E01015719,121433.5083,382371.2987,338653.9817,151495.7243,377828.873,2377202.162,567356.1195,1846808.734,Luton,Luton,South East Midlands,EPN
,E01015720,753916.2004,1027794.641,1003024.173,1097783.777,1194549.927,2556528.679,2211653.704,2791119.776,Luton,Luton,South East Midlands,EPN
,E01015721,195644.3302,746327.008,719120.3514,746539.0932,836457.686,2381579.487,1884482.182,2432970.418,Luton,Luton,South East Midlands,EPN
,E01015722,2030039.269,2016994.276,1997818.334,2040758.493,1932245.641,2415372.544,2323933.772,2459063.925,Luton,Luton,South East Midlands,EPN
,E01015723,539900.1224,612899.2397,572732.1304,475302.1296,617242.5163,2078860.596,645315.3314,1652512.767,Luton,Luton,South East Midlands,EPN
,E01015724,1139771.118,1340409.432,1281326.017,1066727.304,1376194.031,4677263.787,1459516.894,3747553.6,Luton,Luton,South East Midlands,EPN
,E01015725,309507.6347,707834.9205,683128.3424,681296.2309,867145.0738,2417160.299,1905855.724,2571000.196,Luton,Luton,South East Midlands,EPN
,E01015726,732108.0453,1058567.986,1031814.636,1067114.058,1234572.996,2915219.157,2235395.841,3031328.714,Luton,Luton,South East Midlands,EPN
,E01015727,399067.3672,781085.3744,757401.6155,785703.4159,970549.5748,2547554.52,2009314.846,2718996.106,Luton,Luton,South East Midlands,EPN
,E01015728,4605735.162,4323073.618,4278173.441,4410730.58,4158735.858,6303873.018,4803252.277,4923502.323,Luton,Luton,South East Midlands,EPN
,E01015729,1001565.749,1104179.778,1082593.013,1214693.167,1196683.399,2070914.714,2006820.012,2290743.655,Luton,Luton,South East Midlands,EPN
,E01015730,876769.7755,1297345.94,1261924.106,1357974.225,1576869.387,3467778.608,2939794.416,3850461.581,Luton,Luton,South East Midlands,EPN
,E01015731,3633431.016,3568905.481,3523612.673,3556736.17,3389342.907,4134753.963,3411755.977,3478170.584,Luton,Luton,South East Midlands,EPN
,E01015732,751009.1416,859923.4209,816051.2583,704851.7956,861908.2878,2367472.618,939417.6349,1954067.586,Luton,Luton,South East Midlands,EPN
,E01015733,489306.3772,641308.5385,591053.7034,471113.6222,647006.8413,2182798.639,690135.8995,1804166.517,Luton,Luton,South East Midlands,EPN
,E01015734,442904.5724,662017.9471,605361.2191,468626.9917,655763.1327,2554881.375,961653.9757,2089778.382,Luton,Luton,South East Midlands,EPN
,E01015735,647782.3643,1013567.491,984703.6324,1097830.096,1200500.401,2777530.816,2489381.871,3061017.078,Luton,Luton,South East Midlands,EPN
,E01015736,1910640.132,1787242.121,1738943.698,1726991.916,1851455.345,3590203.517,1781909.744,3222186.999,Luton,Luton,South East Midlands,EPN
,E01015737,340865.1581,482357.9334,441803.2633,327804.0318,481849.2386,1913199.731,613116.7569,1541608.539,Luton,Luton,South East Midlands,EPN
,E01015738,3202726.789,2480334.769,2412653.268,2552329.636,2497629.231,3176702.395,1827180.853,2818005.066,Luton,Luton,South East Midlands,EPN
,E01015739,6877008.293,5030127.283,4976028.164,5548274.941,5116028.85,3655402.514,3200006.101,3707240.341,Luton,Luton,South East Midlands,EPN
,E01015740,1385820.393,1209106.089,1172443.805,1157742.681,1208101.543,2142240.465,1011933.472,1823661.149,Luton,Luton,South East Midlands,EPN
,E01015741,4852679.955,4474397.851,4414438.732,4889069.527,4674013.277,6064286.386,6077051.285,6624627.98,Luton,Luton,South East Midlands,EPN
,E01015742,1153879.649,1270744.234,1237371.969,1422788.879,1403745.009,2559303.267,2376063.909,2800627.772,Luton,Luton,South East Midlands,EPN
,E01015743,5325987.351,3772274.087,3717672.062,4111609.017,3766039.356,2976672.014,2087827.253,2731521.555,Luton,Luton,South East Midlands,EPN
,E01015744,1188812.396,1121062.315,1077792.489,1046103.268,1112397.214,2169142.147,1118958.823,1839105.369,Luton,Luton,South East Midlands,EPN
,E01015745,231357.6571,467211.7371,423158.8347,263550.2269,458343.8162,2232470.192,766274.0329,1803244.701,Luton,Luton,South East Midlands,EPN
,E01015746,450642.1932,607225.0423,559311.654,408095.8473,600854.5574,2324597.486,699622.932,1853768.671,Luton,Luton,South East Midlands,EPN
,E01015747,0,253875.5982,215023.1778,56089.78377,253712.7825,1858410.961,556178.315,1510370.184,Luton,Luton,South East Midlands,EPN
,E01015748,237252.3657,540288.6149,481073.0094,261253.599,534959.5217,2915771.267,734081.7757,2279289.253,Luton,Luton,South East Midlands,EPN
,E01015749,1641892.957,1546451.616,1503201.475,1505132.018,1541866.33,2477540.55,1648928.602,2181254.753,Luton,Luton,South East Midlands,EPN
,E01015750,1107707.5,1133745.977,1075246.955,963122.4738,1117294.95,2905769.295,1134434.354,2354618.11,Luton,Luton,South East Midlands,EPN
,E01015751,1552703.642,1461296.592,1412219.129,1358523.301,1453706.949,2749420.585,1271097.806,2309781.964,Luton,Luton,South East Midlands,EPN
,E01015752,75590.63901,297919.2853,257871.688,117911.3835,287453.8496,1719756.8,533350.8036,1369885.514,Luton,Luton,South East Midlands,EPN
,E01015753,2096199.872,1782501.866,1732312.413,1766197.782,1800530.322,2709534.123,1468876.279,2318116.742,Luton,Luton,South East Midlands,EPN
,E01015754,995831.9815,982736.0482,928549.7544,890236.8135,985810.9171,2253226.958,1170779.469,1944431.817,Luton,Luton,South East Midlands,EPN
,E01015755,686729.1554,828459.3771,775287.6617,648168.8595,810055.1899,2458036.429,982700.1053,2019590.146,Luton,Luton,South East Midlands,EPN
,E01015756,1152240.877,1196426.07,1143287.626,1068430.2,1183957.258,2602548.517,1259303.762,2180318.422,Luton,Luton,South East Midlands,EPN
,E01015757,1117953.661,1138822.67,1091804.206,1046630.803,1124007.785,2505156.759,1257235.897,2081379.777,Luton,Luton,South East Midlands,EPN
,E01015758,780376.5206,799973.217,760340.2337,696341.4659,791157.2365,2005919.346,879965.3892,1640921.583,Luton,Luton,South East Midlands,EPN
,E01015759,950328.4795,982372.9611,940294.0141,886443.2598,998502.1187,2219353.949,1043182.523,1898526.405,Luton,Luton,South East Midlands,EPN
,E01015760,1048358.886,1123374.227,1075983.594,993829.4553,1218594.033,2960769.91,1352291.645,2629548.673,Luton,Luton,South East Midlands,EPN
,E01015761,1872732.944,1814698.11,1774042.736,1709731.102,1868855.492,3857017.661,1671323.062,3391933.646,Luton,Luton,South East Midlands,EPN
,E01015762,1095169.999,1052990.329,1001458.065,919213.5132,1037262.036,2582450.07,962966.224,2077309.064,Luton,Luton,South East Midlands,EPN
,E01015763,493316.2895,661280.2435,610668.629,473677.4484,643297.1758,2450706.524,785540.5105,1912438.04,Luton,Luton,South East Midlands,EPN
,E01015764,256923.9951,497367.1524,447589.8506,297976.3667,467487.3575,2118298.779,782649.1808,1691564.417,Luton,Luton,South East Midlands,EPN
,E01015765,1246406.794,1272268.145,1218395.496,1147180.66,1227028.237,2749537.301,1318794.547,2249942.085,Luton,Luton,South East Midlands,EPN
,E01015766,229390.4646,440627.4204,397423.7102,250259.6147,429628.8437,2025963.957,651347.1352,1628622.927,Luton,Luton,South East Midlands,EPN
,E01015767,875788.2026,909218.1335,867767.785,792087.38,897872.2841,2154753.802,944965.6288,1796529.95,Luton,Luton,South East Midlands,EPN
,E01015768,666476.4465,743870.7348,697232.6726,597653.1281,743547.8932,2138168.722,797044.552,1783365.379,Luton,Luton,South East Midlands,EPN
,E01015769,1057118.784,1001328.62,963057.7071,919947.8556,1077115.167,2543761.239,897560.752,2355329.274,Luton,Luton,South East Midlands,EPN
,E01015770,577134.5956,772075.5712,731707.1998,594007.0861,740403.6681,2292924.924,970807.8157,1818474.285,Luton,Luton,South East Midlands,EPN
,E01015771,2207850.936,1952252.231,1910159.14,2024118.253,1956193.046,2894084.36,2014624.421,2712250.783,Luton,Luton,South East Midlands,EPN
,E01015772,1441397.869,1292047.643,1252752.703,1218109.505,1389861.567,2949268.411,1101713.557,2748381.366,Luton,Luton,South East Midlands,EPN
,E01015773,523291.1615,558365.1313,524697.1529,487400.295,561566.3502,1392929.442,698401.1169,1208495.703,Luton,Luton,South East Midlands,EPN
,E01015774,1550059.713,1274296.957,1243068.065,1289553.91,1311865.228,1990966.001,1031972.044,1844613.505,Luton,Luton,South East Midlands,EPN
,E01015775,3001700.216,2412407.726,2361632.135,2452254.66,2433512.305,3091409.23,1793011.082,2772889.395,Luton,Luton,South East Midlands,EPN
,E01015776,862309.8027,969784.3773,912193.4361,797108.0836,960207.5392,2669371.591,1079315.227,2223404.713,Luton,Luton,South East Midlands,EPN
,E01015777,945079.1393,1356173.158,1331222.726,1388170.409,1434143.978,2796011.543,2453639.141,2932003.827,Luton,Luton,South East Midlands,EPN
,E01015778,677516.9563,777263.9297,727116.9338,586543.2411,755835.3091,2462082.11,802338.0195,1944867.26,Luton,Luton,South East Midlands,EPN
,E01015779,47503.46772,512602.6135,492860.7105,486296.826,580917.1163,1954338.319,1429007.621,1918906.557,Luton,Luton,South East Midlands,EPN
,E01015780,209171.6255,618230.2588,592154.9075,625814.115,722638.9922,2311684.745,1808042.436,2385440.851,Luton,Luton,South East Midlands,EPN
,E01015781,290865.4727,633260.7518,608942.0625,653584.4819,729471.3356,2129231.383,1695454.421,2202783.603,Luton,Luton,South East Midlands,EPN
,E01015782,255182.0748,545131.4525,488832.7981,303696.8786,525888.6873,2562724.969,825792.8878,2025256.659,Luton,Luton,South East Midlands,EPN
,E01015783,736775.7022,743004.6449,702436.6909,620257.692,744836.4226,1981282.143,750861.9993,1624089.986,Luton,Luton,South East Midlands,EPN
,E01015784,50584.59147,475086.0245,448407.987,455430.6832,575632.6555,2142594.01,1619137.623,2219326.217,Luton,Luton,South East Midlands,EPN
,E01015785,2284751.049,2013406.044,1949160.866,1887323.737,2071956.953,4276276.997,1653079.065,3626030.471,Luton,Luton,South East Midlands,EPN
,E01015786,634631.3314,783215.934,741922.756,593967.1392,746005.9309,2462166.103,915953.8761,1876632.722,Luton,Luton,South East Midlands,EPN
,E01015787,1238614.221,1289856.137,1241485.881,1123801.352,1288468.836,3449699.261,1400620.666,2793202.581,Luton,Luton,South East Midlands,EPN
,E01015788,370879.6957,633898.6725,615976.9718,651057.6588,723362.8027,1921552.127,1494073.724,1961622.763,Luton,Luton,South East Midlands,EPN
,E01015789,9137979.107,7294785.654,7238980.8,7838901.995,6682001.802,3971995.142,4668032.848,3716779.013,Luton,Luton,South East Midlands,EPN
,E01015790,2091113.643,2077471.69,2033237.695,2047180.112,1910245.119,2772515.477,2360910.096,2157384.645,Luton,Luton,South East Midlands,EPN
,E01015791,3621933.19,3497173.031,3453945.992,3828783.209,3817129.345,5558167.305,5345209.003,6124695.858,Luton,Luton,South East Midlands,EPN
,E01015792,782438.4908,1055959.774,1025755.881,1112291.968,1173631.431,2677326.179,2351532.54,2883319.417,Luton,Luton,South East Midlands,EPN
,E01015793,2134610.665,2002275.96,1958894.225,1987159.53,1862543.851,2826522.087,2188044.062,2206107.625,Luton,Luton,South East Midlands,EPN
,E01015794,18204006.76,14729295.09,14660563.02,15417788.17,14380063.17,11910101.76,13456896.76,13391064.3,Luton,Luton,South East Midlands,EPN
,E01015795,6441779.316,4982394.526,4948246.221,5483830.241,4793331.382,4190467.722,4832401.985,4760710.627,Luton,Luton,South East Midlands,EPN
,E01015796,1722087.449,1693165.18,1643213.285,1577666.228,1660467.462,3307345.883,1691915.926,2692030.91,Luton,Luton,South East Midlands,EPN
,E01015797,487746.1367,805958.3969,766302.8543,611127.3536,886654.6473,3152394.952,1427080.213,2530840.088,Luton,Luton,South East Midlands,EPN
,E01015798,667459.1719,690728.4779,648723.7372,561867.9124,690511.6211,1966975.811,683250.3345,1616166.548,Luton,Luton,South East Midlands,EPN
,E01015799,118105.429,368814.8328,323042.6949,157411.7265,347452.1245,2142478.667,616556.5259,1596124.865,Luton,Luton,South East Midlands,EPN
,E01015800,108544.9634,343405.6583,294464.1162,145360.2775,332973.9095,2013979.209,608154.932,1602058.992,Luton,Luton,South East Midlands,EPN
,E01015801,259217.7653,493554.6836,436293.8994,297187.5786,482867.3735,2258006.923,905970.0922,1834158.203,Luton,Luton,South East Midlands,EPN
,E01015802,904096.8935,960092.8101,917890.0242,866058.3162,961185.7809,2039763.023,1124178.334,1784772.126,Luton,Luton,South East Midlands,EPN
,E01015803,222732.2995,453367.7387,404145.2292,243080.8668,446990.4975,2351731.779,670676.0317,1857581.263,Luton,Luton,South East Midlands,EPN
,E01015804,4290389.529,3879287.837,3819081.525,3925519.361,3550217.169,3988642.32,2895010.704,3069009.72,Luton,Luton,South East Midlands,EPN
,E01015805,20411.56204,264791.1993,223538.4316,70317.94617,252740.7921,1782852.732,507525.3569,1407599.128,Luton,Luton,South East Midlands,EPN
,E01015806,357301.5563,490781.8226,453149.3612,338937.569,487290.3662,1885699.904,659159.1447,1519364.322,Luton,Luton,South East Midlands,EPN
,E01015807,266541.7218,483838.7252,434944.1797,275809.0248,474532.6946,2211220.805,686190.9812,1769299.009,Luton,Luton,South East Midlands,EPN
,E01015808,2645035.414,2425870.888,2378155.812,2511613.236,2233339.454,2824077.634,2818678.84,2293014.702,Luton,Luton,South East Midlands,EPN
,E01015809,133212.5482,342433.8532,303035.947,168816.3689,333623.8102,1752879.065,566195.9495,1420389.051,Luton,Luton,South East Midlands,EPN
,E01015810,111460.8789,302032.6201,264341.0414,137904.4867,297567.8893,1698442.23,552394.4445,1371654.374,Luton,Luton,South East Midlands,EPN
